tradeID,market,type,category,price,amount,total,fee,date
14151340,BTC_DASH,Buy,exchange,0.01087037,0.16808627,0.00182715,0.002,2016-01-24 23:21:43
14152721,BTC_DASH,Sell,exchange,0.01094464,0.04344564,0.00047549,0.002,2016-01-24 23:51:21
14152760,BTC_DASH,Sell,exchange,0.01094464,0.00022648,2.47E-06,0.002,2016-01-24 23:51:31
14152983,XMR_DASH,Sell,exchange,6.66753129,0.12407798,0.82729381,0.002,2016-01-24 23:59:54
14153993,XMR_DSH,Buy,exchange,0.00280028,169.43833613,0.47447478,0.002,2016-01-25 00:23:36
14154164,BTC_DASH,Buy,exchange,0.01065336,0.04477709,0.00047702,0.002,2016-01-25 00:26:43
14154233,XMR_DSH,Buy,exchange,0.00289999,121.09160721,0.35116444,0.002,2016-01-25 00:27:36
14170957,BTC_DASH,Sell,exchange,0.01023807,0.04468754,0.00045751,0.002,2016-01-25 08:21:44
14170983,BTC_EMC2,Buy,exchange,1.8E-07,1402.32948271,0.00025241,0.002,2016-01-25 08:23:12
14170984,BTC_EMC2,Buy,exchange,1.8E-07,900.06113022,0.00016201,0.002,2016-01-25 08:23:12
14171076,BTC_EMC2,Sell,exchange,1.7E-07,2297.78583171,0.00039062,0.002,2016-01-25 08:26:55
14171089,BTC_DOGE,Buy,exchange,5.1E-07,847.11764706,0.00043203,0.002,2016-01-25 08:27:20
14171963,BTC_DOGE,Sell,exchange,5E-07,845.42341177,0.00042271,0.002,2016-01-25 08:57:07
14172082,BTC_XVC,Buy,exchange,0.00012837,3.28635975,0.00042187,0.002,2016-01-25 09:00:22
14172299,BTC_XVC,Sell,exchange,0.00012837,1.27978704,0.00016428,0.002,2016-01-25 09:08:43
14172374,BTC_XVC,Sell,exchange,0.0001337,1,0.0001337,0.002,2016-01-25 09:11:28
14172550,BTC_XVC,Buy,exchange,0.0001346,1.95645024,0.00026333,0.002,2016-01-25 09:17:24
14172972,BTC_XVC,Sell,exchange,0.00012611,2.95253734,0.00037234,0.002,2016-01-25 09:30:16
14173032,BTC_ETH,Buy,exchange,0.00526307,0.07707859,0.00040567,0.002,2016-01-25 09:32:22
14343991,BTC_ETH,Sell,exchange,0.0057,0.07692444,0.00043846,0.002,2016-01-27 00:46:06
14345934,BTC_DOGE,Buy,exchange,9E-07,486.21111111,0.00043758,0.002,2016-01-27 01:21:54
14358392,BTC_DOGE,Sell,exchange,1.1E-06,485.23868889,0.00053376,0.002,2016-01-27 04:27:15
14387546,BTC_DOGE,Buy,exchange,1.13E-06,471.42477877,0.00053271,0.002,2016-01-27 10:20:19
14387828,BTC_DOGE,Sell,exchange,1.13E-06,470.48192922,0.00053164,0.002,2016-01-27 10:25:54
14387958,BTC_DOGE,Buy,borrowed,1.14E-06,1163.55263158,0.00132645,0.0025,2016-01-27 10:28:54
14388709,BTC_DOGE,Sell,borrowed,1.15E-06,1160.64375001,0.00133474,0.0025,2016-01-27 10:42:52
14388932,BTC_ETH,Buy,borrowed,0.00589786,0.22699759,0.0013388,0.0025,2016-01-27 10:46:42
14389634,BTC_ETH,Sell,borrowed,0.00582034,0.01735294,0.000101,0.0025,2016-01-27 10:55:06
14389635,BTC_ETH,Sell,borrowed,0.00581101,0.20907716,0.00121494,0.0025,2016-01-27 10:55:06
14389652,BTC_BTS,Buy,borrowed,9.32E-06,84.12533479,0.00078404,0.0025,2016-01-27 10:55:35
14389653,BTC_BTS,Buy,borrowed,9.32E-06,52.50771243,0.00048937,0.0025,2016-01-27 10:55:35
14390119,BTC_BTS,Sell,borrowed,9.41E-06,3.36818908,3.169E-05,0.0025,2016-01-27 11:03:42
